score_policy,n_queries,queries_with_true_candidate,top1_accuracy,top5_accuracy,top10_accuracy,mean_reciprocal_rank,median_true_rank,mean_candidate_count
fragannotor_formal_component_score,229,229,0.6506550218340611,0.6593886462882096,0.6681222707423581,0.6581784711199451,1.0,1782.7467248908297
precursor_mass_consistency_score,229,229,0.2794759825327511,0.38427947598253276,0.4585152838427948,0.3394369529683381,15.0,1782.7467248908297
fragment_formula_plausibility_score,229,229,0.5633187772925764,0.6419213973799127,0.6593886462882096,0.597709506126429,1.0,1782.7467248908297
sirius_formula_plausibility_score_nan0,229,229,0.7248908296943232,0.7336244541484717,0.7379912663755459,0.7301137346953291,1.0,1782.7467248908297
no_sirius_precursor80_fragment20,229,229,0.3056768558951965,0.40611353711790393,0.4759825327510917,0.3644142578027097,13.0,1782.7467248908297
no_sirius_precursor50_fragment50,229,229,0.314410480349345,0.4148471615720524,0.48034934497816595,0.3726366781420895,13.0,1782.7467248908297
