supported_index,query_id,query_id_s,fragannotator_true_rank,fragannotator_top1_correct,fragannotator_top10_correct,fragannotator_reciprocal_rank,sirius_formula_only_true_rank,sirius_formula_only_top1_correct,sirius_formula_only_top10_correct,sirius_formula_only_reciprocal_rank,cfmid_native_true_rank,cfmid_native_top1_correct,cfmid_native_top10_correct,cfmid_native_reciprocal_rank,cfmid_ms2deepscore_hybrid_true_rank,cfmid_ms2deepscore_hybrid_top1_correct,cfmid_ms2deepscore_hybrid_top10_correct,cfmid_ms2deepscore_hybrid_reciprocal_rank,iceberg_true_rank,iceberg_top1_correct,iceberg_top10_correct,iceberg_reciprocal_rank,massformer_true_rank,massformer_top1_correct,massformer_top10_correct,massformer_reciprocal_rank
28,40,40,2242.0,False,False,0.0004460303300624,1878.0,False,False,0.0005324813631522,23.0,False,False,0.0434782608695652,72.0,False,False,0.0138888888888888,210.0,False,False,0.0047619047619047,988.0,False,False,0.0010121457489878
29,41,41,1114.0,False,False,0.0008976660682226,996.0,False,False,0.001004016064257,1.0,True,True,1.0,2.0,False,True,0.5,3.0,False,True,0.3333333333333333,987.0,False,False,0.0010131712259371
30,42,42,1.0,True,True,1.0,1.0,True,True,1.0,382.0,False,False,0.0026178010471204,954.0,False,False,0.0010482180293501,176.0,False,False,0.0056818181818181,715.0,False,False,0.0013986013986013
31,43,43,1.0,True,True,1.0,1.0,True,True,1.0,947.0,False,False,0.0010559662090813,1183.0,False,False,0.0008453085376162,267.0,False,False,0.0037453183520599,2190.0,False,False,0.0004566210045662
32,46,46,1.0,True,True,1.0,1.0,True,True,1.0,191.0,False,False,0.0052356020942408,674.0,False,False,0.0014836795252225,166.0,False,False,0.0060240963855421,575.0,False,False,0.0017391304347826
33,48,48,1.0,True,True,1.0,1.0,True,True,1.0,778.0,False,False,0.0012853470437017,822.0,False,False,0.0012165450121654,68.0,False,False,0.0147058823529411,123.0,False,False,0.008130081300813
34,50,50,981.0,False,False,0.001019367991845,981.0,False,False,0.001019367991845,934.0,False,False,0.0010706638115631,322.0,False,False,0.0031055900621118,1345.0,False,False,0.0007434944237918,1378.0,False,False,0.0007256894049346
35,51,51,49.0,False,False,0.0204081632653061,1.0,True,True,1.0,54.0,False,False,0.0185185185185185,388.0,False,False,0.0025773195876288,141.0,False,False,0.0070921985815602,97.0,False,False,0.0103092783505154
36,53,53,1.0,True,True,1.0,1.0,True,True,1.0,848.0,False,False,0.0011792452830188,337.0,False,False,0.0029673590504451,1096.0,False,False,0.000912408759124,1000.0,False,False,0.001
37,54,54,1.0,True,True,1.0,1.0,True,True,1.0,103.0,False,False,0.0097087378640776,1102.0,False,False,0.0009074410163339,135.0,False,False,0.0074074074074074,1111.0,False,False,0.0009000900090009
38,55,55,1.0,True,True,1.0,1.0,True,True,1.0,527.0,False,False,0.0018975332068311,932.0,False,False,0.0010729613733905,60.0,False,False,0.0166666666666666,294.0,False,False,0.0034013605442176
39,56,56,1.0,True,True,1.0,1.0,True,True,1.0,1030.0,False,False,0.0009708737864077,989.0,False,False,0.0010111223458038,64.0,False,False,0.015625,935.0,False,False,0.0010695187165775
40,58,58,1.0,True,True,1.0,1.0,True,True,1.0,506.0,False,False,0.0019762845849802,900.0,False,False,0.0011111111111111,266.0,False,False,0.0037593984962406,235.0,False,False,0.0042553191489361
41,59,59,1.0,True,True,1.0,1.0,True,True,1.0,4156.0,False,False,0.0002406159769008,6801.0,False,False,0.0001470372004117,862.0,False,False,0.0011600928074245,131.0,False,False,0.0076335877862595
42,60,60,1.0,True,True,1.0,1.0,True,True,1.0,1523.0,False,False,0.0006565988181221,701.0,False,False,0.0014265335235378,35.0,False,False,0.0285714285714285,569.0,False,False,0.0017574692442882
43,61,61,1.0,True,True,1.0,1.0,True,True,1.0,24.0,False,False,0.0416666666666666,972.0,False,False,0.0010288065843621,18.0,False,False,0.0555555555555555,2699.0,False,False,0.0003705075954057
44,64,64,1.0,True,True,1.0,1.0,True,True,1.0,1.0,True,True,1.0,207.0,False,False,0.0048309178743961,2.0,False,True,0.5,141.0,False,False,0.0070921985815602
45,65,65,1.0,True,True,1.0,1.0,True,True,1.0,3658.0,False,False,0.0002733734281027,4858.0,False,False,0.0002058460271716,1717.0,False,False,0.0005824111822947,1994.0,False,False,0.0005015045135406
46,68,68,1.0,True,True,1.0,1.0,True,True,1.0,2.0,False,True,0.5,686.0,False,False,0.0014577259475218,173.0,False,False,0.0057803468208092,582.0,False,False,0.0017182130584192
47,69,69,1.0,True,True,1.0,1.0,True,True,1.0,105.0,False,False,0.0095238095238095,20.0,False,False,0.05,2076.0,False,False,0.0004816955684007,340.0,False,False,0.0029411764705882
48,70,70,1.0,True,True,1.0,1.0,True,True,1.0,67.0,False,False,0.0149253731343283,1055.0,False,False,0.0009478672985781,108.0,False,False,0.0092592592592592,67.0,False,False,0.0149253731343283
49,71,71,1.0,True,True,1.0,1.0,True,True,1.0,13.0,False,False,0.0769230769230769,81.0,False,False,0.0123456790123456,4150.0,False,False,0.0002409638554216,6262.0,False,False,0.0001596933886937
50,74,74,1.0,True,True,1.0,1.0,True,True,1.0,3584.0,False,False,0.0002790178571428,848.0,False,False,0.0011792452830188,3866.0,False,False,0.0002586652871184,525.0,False,False,0.0019047619047619
51,75,75,1.0,True,True,1.0,1.0,True,True,1.0,14.0,False,False,0.0714285714285714,22.0,False,False,0.0454545454545454,20.0,False,False,0.05,160.0,False,False,0.00625
