decoy_set,primary_decoy_set,threshold,n_queries,n_decoy_query_candidate_pairs,true_candidate_hits,decoy_hits,queries_with_decoy_hit,true_candidate_recall,decoy_candidate_fpr,decoy_query_fpr,candidate_precision_proxy,query_precision_proxy,weight_search_run,locked_test_used_for_weight_tuning
mass_window_20da_strict,False,0.1,64,1182,61,523,61,0.953125,0.44247038917089676,0.9838709677419355,0.10445205479452055,0.5,False,False
mass_window_20da_strict,False,0.143177,64,1182,57,346,53,0.890625,0.2927241962774958,0.8548387096774194,0.141439205955335,0.5181818181818182,False,False
mass_window_20da_strict,False,0.149591,64,1182,55,285,48,0.859375,0.24111675126903553,0.7741935483870968,0.16176470588235295,0.5339805825242718,False,False
mass_window_20da_strict,False,0.15,64,1182,55,280,48,0.859375,0.23688663282571912,0.7741935483870968,0.16417910447761194,0.5339805825242718,False,False
mass_window_20da_strict,False,0.15492,64,1182,55,204,40,0.859375,0.17258883248730963,0.6451612903225806,0.21235521235521235,0.5789473684210527,False,False
mass_window_20da_strict,False,0.164201,64,1182,53,131,34,0.828125,0.11082910321489002,0.5483870967741935,0.28804347826086957,0.6091954022988506,False,False
mass_window_20da_strict,False,0.19522,64,1182,47,66,28,0.734375,0.05583756345177665,0.45161290322580644,0.415929203539823,0.6266666666666667,False,False
mass_window_20da_strict,False,0.2,64,1182,46,60,28,0.71875,0.050761421319796954,0.45161290322580644,0.4339622641509434,0.6216216216216216,False,False
mass_window_20da_strict,False,0.25,64,1182,41,37,20,0.640625,0.031302876480541454,0.3225806451612903,0.5256410256410257,0.6721311475409836,False,False
mass_window_20da_strict,False,0.256061,64,1182,40,36,20,0.625,0.030456852791878174,0.3225806451612903,0.5263157894736842,0.6666666666666666,False,False
mass_window_20da_strict,False,0.3,64,1182,34,22,11,0.53125,0.018612521150592216,0.1774193548387097,0.6071428571428571,0.7555555555555555,False,False
mass_window_20da_strict,False,0.326625,64,1182,32,18,9,0.5,0.015228426395939087,0.14516129032258066,0.64,0.7804878048780488,False,False
mass_window_20da_strict,False,0.347952,64,1182,30,16,7,0.46875,0.01353637901861252,0.11290322580645161,0.6521739130434783,0.8108108108108109,False,False
mass_window_20da_strict,False,0.35,64,1182,30,15,7,0.46875,0.012690355329949238,0.11290322580645161,0.6666666666666666,0.8108108108108109,False,False
mass_window_20da_strict,False,0.4,64,1182,30,12,6,0.46875,0.01015228426395939,0.0967741935483871,0.7142857142857143,0.8333333333333334,False,False
mass_window_20da_strict,False,0.45,64,1182,27,11,5,0.421875,0.009306260575296108,0.08064516129032258,0.7105263157894737,0.84375,False,False
mass_window_20da_strict,False,0.5,64,1182,22,10,4,0.34375,0.008460236886632826,0.06451612903225806,0.6875,0.8461538461538461,False,False
mass_window_20da_strict,False,0.55,64,1182,18,10,4,0.28125,0.008460236886632826,0.06451612903225806,0.6428571428571429,0.8181818181818182,False,False
mass_window_20da_strict,False,0.574659,64,1182,16,10,4,0.25,0.008460236886632826,0.06451612903225806,0.6153846153846154,0.8,False,False
mass_window_20da_strict,False,0.6,64,1182,13,10,4,0.203125,0.008460236886632826,0.06451612903225806,0.5652173913043478,0.7647058823529411,False,False
mass_window_20da_strict,False,0.60116,64,1182,13,10,4,0.203125,0.008460236886632826,0.06451612903225806,0.5652173913043478,0.7647058823529411,False,False
mass_window_20da_strict,False,0.636241,64,1182,10,7,3,0.15625,0.005922165820642978,0.04838709677419355,0.5882352941176471,0.7692307692307693,False,False
mass_window_20da_strict,False,0.649717,64,1182,7,4,1,0.109375,0.00338409475465313,0.016129032258064516,0.6363636363636364,0.875,False,False
mass_window_20da_strict,False,0.65,64,1182,6,4,1,0.09375,0.00338409475465313,0.016129032258064516,0.6,0.8571428571428571,False,False
mass_window_20da_strict,False,0.672352,64,1182,4,3,1,0.0625,0.0025380710659898475,0.016129032258064516,0.5714285714285714,0.8,False,False
mass_window_20da_strict,False,0.7,64,1182,2,1,1,0.03125,0.0008460236886632825,0.016129032258064516,0.6666666666666666,0.6666666666666666,False,False
mass_window_20da_strict,False,0.734712,64,1182,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_20da_strict,False,0.75,64,1182,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_20da_strict,False,0.8,64,1182,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_20da_strict,False,0.805399,64,1182,1,0,0,0.015625,0.0,0.0,1.0,1.0,False,False
mass_window_20da_strict,False,0.85,64,1182,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_20da_strict,False,0.9,64,1182,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_20da_strict,False,0.95,64,1182,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_20da_strict,False,1.0,64,1182,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_100da_broad,False,0.0,64,5596,64,5596,64,1.0,1.0,1.0,0.011307420494699646,0.5,False,False
mass_window_100da_broad,False,0.05,64,5596,62,3318,64,0.96875,0.5929235167977126,1.0,0.018343195266272188,0.49206349206349204,False,False
mass_window_100da_broad,False,0.067653,64,5596,62,2940,64,0.96875,0.5253752680486061,1.0,0.020652898067954697,0.49206349206349204,False,False
mass_window_100da_broad,False,0.1,64,5596,61,2261,64,0.953125,0.4040385989992852,1.0,0.02627045650301464,0.488,False,False
mass_window_100da_broad,False,0.143177,64,5596,57,1429,62,0.890625,0.25536097212294495,0.96875,0.03835800807537012,0.4789915966386555,False,False
mass_window_100da_broad,False,0.149591,64,5596,55,1136,62,0.859375,0.20300214438884917,0.96875,0.04617968094038623,0.4700854700854701,False,False
mass_window_100da_broad,False,0.15,64,5596,55,1122,62,0.859375,0.20050035739814154,0.96875,0.04672897196261682,0.4700854700854701,False,False
mass_window_100da_broad,False,0.15492,64,5596,55,826,60,0.859375,0.14760543245175126,0.9375,0.06242905788876277,0.4782608695652174,False,False
mass_window_100da_broad,False,0.164201,64,5596,53,560,59,0.828125,0.10007147962830593,0.921875,0.0864600326264274,0.4732142857142857,False,False
mass_window_100da_broad,False,0.19522,64,5596,47,283,48,0.734375,0.050571837026447464,0.75,0.14242424242424243,0.49473684210526314,False,False
mass_window_100da_broad,False,0.2,64,5596,46,259,48,0.71875,0.04628305932809149,0.75,0.15081967213114755,0.48936170212765956,False,False
mass_window_100da_broad,False,0.25,64,5596,41,146,38,0.640625,0.026090064331665476,0.59375,0.2192513368983957,0.5189873417721519,False,False
mass_window_100da_broad,False,0.256061,64,5596,40,137,38,0.625,0.024481772694781988,0.59375,0.22598870056497175,0.5128205128205128,False,False
mass_window_100da_broad,False,0.3,64,5596,34,86,30,0.53125,0.015368120085775554,0.46875,0.2833333333333333,0.53125,False,False
mass_window_100da_broad,False,0.326625,64,5596,32,68,25,0.5,0.012151536812008578,0.390625,0.32,0.5614035087719298,False,False
mass_window_100da_broad,False,0.347952,64,5596,30,59,23,0.46875,0.01054324517512509,0.359375,0.33707865168539325,0.5660377358490566,False,False
mass_window_100da_broad,False,0.35,64,5596,30,58,23,0.46875,0.010364546104360257,0.359375,0.3409090909090909,0.5660377358490566,False,False
mass_window_100da_broad,False,0.4,64,5596,30,39,22,0.46875,0.006969263759828449,0.34375,0.43478260869565216,0.5769230769230769,False,False
mass_window_100da_broad,False,0.45,64,5596,27,30,18,0.421875,0.005360972122944961,0.28125,0.47368421052631576,0.6,False,False
mass_window_100da_broad,False,0.5,64,5596,22,26,15,0.34375,0.004646175839885632,0.234375,0.4583333333333333,0.5945945945945946,False,False
mass_window_100da_broad,False,0.55,64,5596,18,21,11,0.28125,0.0037526804860614723,0.171875,0.46153846153846156,0.6206896551724138,False,False
mass_window_100da_broad,False,0.574659,64,5596,16,21,11,0.25,0.0037526804860614723,0.171875,0.43243243243243246,0.5925925925925926,False,False
mass_window_100da_broad,False,0.6,64,5596,13,20,10,0.203125,0.0035739814152966403,0.15625,0.3939393939393939,0.5652173913043478,False,False
mass_window_100da_broad,False,0.60116,64,5596,13,19,10,0.203125,0.0033952823445318084,0.15625,0.40625,0.5652173913043478,False,False
mass_window_100da_broad,False,0.636241,64,5596,10,13,7,0.15625,0.002323087919942816,0.109375,0.43478260869565216,0.5882352941176471,False,False
