variant,n_queries,top1_accuracy,top5_accuracy,top10_accuracy,mean_reciprocal_rank,median_true_rank,median_candidate_count
formal_full_fixed_components,229,0.6506550218340611,0.6593886462882096,0.6724890829694323,0.6585487281556323,1.0,2001.0
sirius_formula_only_component,229,0.7248908296943232,0.7336244541484717,0.7379912663755459,0.7301137346953291,1.0,2001.0
precursor_mass_only_component,229,0.2794759825327511,0.38427947598253276,0.462882096069869,0.3398072100040252,15.0,2001.0
fragment_formula_only_component,229,0.5633187772925764,0.6419213973799127,0.6593886462882096,0.5977095175017781,1.0,2001.0
without_sirius_formula_component,229,0.314410480349345,0.4148471615720524,0.4847161572052402,0.3730036596361498,13.0,2001.0
without_fragment_formula_component,229,0.6506550218340611,0.6593886462882096,0.6724890829694323,0.6584860874858841,1.0,2001.0
