variant,query_id,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,candidate_count
formal_full_fixed_components,101,1.0,True,True,True,1.0,2001
formal_full_fixed_components,102,1.0,True,True,True,1.0,2001
formal_full_fixed_components,103,1.0,True,True,True,1.0,678
formal_full_fixed_components,104,1.0,True,True,True,1.0,2001
formal_full_fixed_components,105,1.0,True,True,True,1.0,2001
formal_full_fixed_components,106,1.0,True,True,True,1.0,2001
formal_full_fixed_components,107,1.0,True,True,True,1.0,2001
formal_full_fixed_components,108,1.0,True,True,True,1.0,2001
formal_full_fixed_components,109,1.0,True,True,True,1.0,2001
formal_full_fixed_components,110,1.0,True,True,True,1.0,824
formal_full_fixed_components,111,1.0,True,True,True,1.0,2001
formal_full_fixed_components,112,1.0,True,True,True,1.0,2001
formal_full_fixed_components,113,1.0,True,True,True,1.0,2001
formal_full_fixed_components,114,28.0,False,False,False,0.03571428571428571,689
formal_full_fixed_components,115,1.0,True,True,True,1.0,1876
formal_full_fixed_components,116,1.0,True,True,True,1.0,2001
formal_full_fixed_components,117,1.0,True,True,True,1.0,2001
formal_full_fixed_components,118,166.0,False,False,False,0.006024096385542169,2001
formal_full_fixed_components,119,684.0,False,False,False,0.0014619883040935672,2001
formal_full_fixed_components,120,1.0,True,True,True,1.0,2001
formal_full_fixed_components,121,1.0,True,True,True,1.0,2001
formal_full_fixed_components,122,1.0,True,True,True,1.0,2001
formal_full_fixed_components,123,1.0,True,True,True,1.0,2001
formal_full_fixed_components,124,1.0,True,True,True,1.0,2001
formal_full_fixed_components,125,1.0,True,True,True,1.0,2001
formal_full_fixed_components,126,1.0,True,True,True,1.0,2001
formal_full_fixed_components,127,1.0,True,True,True,1.0,1657
formal_full_fixed_components,128,1.0,True,True,True,1.0,2001
formal_full_fixed_components,129,1.0,True,True,True,1.0,2001
formal_full_fixed_components,130,1.0,True,True,True,1.0,2001
formal_full_fixed_components,131,1.0,True,True,True,1.0,2001
formal_full_fixed_components,132,1.0,True,True,True,1.0,2001
formal_full_fixed_components,133,19.0,False,False,False,0.05263157894736842,2001
formal_full_fixed_components,134,1.0,True,True,True,1.0,2001
formal_full_fixed_components,135,117.0,False,False,False,0.008547008547008548,2001
formal_full_fixed_components,136,1.0,True,True,True,1.0,2001
formal_full_fixed_components,137,1.0,True,True,True,1.0,2001
formal_full_fixed_components,138,1.0,True,True,True,1.0,2001
formal_full_fixed_components,139,7.0,False,False,True,0.14285714285714285,631
formal_full_fixed_components,140,1.0,True,True,True,1.0,2001
formal_full_fixed_components,141,1.0,True,True,True,1.0,2001
formal_full_fixed_components,142,1.0,True,True,True,1.0,2001
formal_full_fixed_components,143,79.0,False,False,False,0.012658227848101266,2001
formal_full_fixed_components,144,1.0,True,True,True,1.0,2001
formal_full_fixed_components,145,7.0,False,False,True,0.14285714285714285,316
formal_full_fixed_components,146,200.0,False,False,False,0.005,1277
formal_full_fixed_components,147,1.0,True,True,True,1.0,2001
formal_full_fixed_components,148,1.0,True,True,True,1.0,2001
formal_full_fixed_components,149,1.0,True,True,True,1.0,2001
formal_full_fixed_components,150,1.0,True,True,True,1.0,2001
formal_full_fixed_components,151,1.0,True,True,True,1.0,1793
formal_full_fixed_components,152,1.0,True,True,True,1.0,2001
formal_full_fixed_components,153,1.0,True,True,True,1.0,2001
formal_full_fixed_components,154,1.0,True,True,True,1.0,2001
formal_full_fixed_components,155,613.0,False,False,False,0.0016313213703099511,2001
formal_full_fixed_components,156,1.0,True,True,True,1.0,2001
formal_full_fixed_components,157,1.0,True,True,True,1.0,2001
formal_full_fixed_components,158,4.0,False,True,True,0.25,2001
formal_full_fixed_components,159,1.0,True,True,True,1.0,2001
formal_full_fixed_components,160,1.0,True,True,True,1.0,658
formal_full_fixed_components,161,1.0,True,True,True,1.0,2001
formal_full_fixed_components,162,49.0,False,False,False,0.02040816326530612,529
formal_full_fixed_components,163,30.0,False,False,False,0.03333333333333333,361
formal_full_fixed_components,164,1.0,True,True,True,1.0,2001
formal_full_fixed_components,165,26.0,False,False,False,0.038461538461538464,631
formal_full_fixed_components,166,1.0,True,True,True,1.0,2001
formal_full_fixed_components,167,1.0,True,True,True,1.0,2001
formal_full_fixed_components,168,1.0,True,True,True,1.0,2001
formal_full_fixed_components,169,58.0,False,False,False,0.017241379310344827,2001
formal_full_fixed_components,170,1.0,True,True,True,1.0,2001
formal_full_fixed_components,171,295.0,False,False,False,0.003389830508474576,1728
formal_full_fixed_components,172,1.0,True,True,True,1.0,1959
formal_full_fixed_components,173,1.0,True,True,True,1.0,2001
formal_full_fixed_components,174,22.0,False,False,False,0.045454545454545456,388
formal_full_fixed_components,175,1.0,True,True,True,1.0,2001
formal_full_fixed_components,176,1.0,True,True,True,1.0,2001
formal_full_fixed_components,177,20.0,False,False,False,0.05,336
formal_full_fixed_components,178,738.0,False,False,False,0.0013550135501355014,2001
formal_full_fixed_components,179,1.0,True,True,True,1.0,2001
formal_full_fixed_components,180,1.0,True,True,True,1.0,2001
formal_full_fixed_components,181,1.0,True,True,True,1.0,2001
formal_full_fixed_components,182,1.0,True,True,True,1.0,826
formal_full_fixed_components,183,17.0,False,False,False,0.058823529411764705,2001
formal_full_fixed_components,184,6.0,False,False,True,0.16666666666666666,219
formal_full_fixed_components,185,1.0,True,True,True,1.0,2001
formal_full_fixed_components,186,1.0,True,True,True,1.0,2001
formal_full_fixed_components,187,1.0,True,True,True,1.0,2001
formal_full_fixed_components,188,1.0,True,True,True,1.0,2001
formal_full_fixed_components,189,328.0,False,False,False,0.003048780487804878,2001
formal_full_fixed_components,190,1.0,True,True,True,1.0,2001
formal_full_fixed_components,191,1.0,True,True,True,1.0,1876
formal_full_fixed_components,192,153.0,False,False,False,0.006535947712418301,735
formal_full_fixed_components,193,287.0,False,False,False,0.003484320557491289,2001
formal_full_fixed_components,194,775.0,False,False,False,0.0012903225806451613,2001
formal_full_fixed_components,195,252.0,False,False,False,0.003968253968253968,1274
formal_full_fixed_components,196,264.0,False,False,False,0.003787878787878788,2001
formal_full_fixed_components,197,1202.0,False,False,False,0.0008319467554076539,1202
formal_full_fixed_components,198,1182.0,False,False,False,0.0008460236886632825,2001
formal_full_fixed_components,199,372.0,False,False,False,0.002688172043010753,2001
formal_full_fixed_components,200,392.0,False,False,False,0.002551020408163265,510
formal_full_fixed_components,201,954.0,False,False,False,0.0010482180293501049,2001
formal_full_fixed_components,202,283.0,False,False,False,0.0035335689045936395,2001
formal_full_fixed_components,203,1.0,True,True,True,1.0,2001
formal_full_fixed_components,204,246.0,False,False,False,0.0040650406504065045,2001
formal_full_fixed_components,205,1411.0,False,False,False,0.0007087172218284905,2001
formal_full_fixed_components,206,261.0,False,False,False,0.0038314176245210726,2001
formal_full_fixed_components,207,893.0,False,False,False,0.0011198208286674132,2001
formal_full_fixed_components,208,1.0,True,True,True,1.0,2001
formal_full_fixed_components,209,1.0,True,True,True,1.0,2001
formal_full_fixed_components,210,1942.0,False,False,False,0.0005149330587023687,2001
formal_full_fixed_components,211,1938.0,False,False,False,0.0005159958720330237,2001
formal_full_fixed_components,212,1984.0,False,False,False,0.0005040322580645161,2001
formal_full_fixed_components,213,361.0,False,False,False,0.002770083102493075,2001
formal_full_fixed_components,214,599.0,False,False,False,0.001669449081803005,1846
formal_full_fixed_components,215,542.0,False,False,False,0.0018450184501845018,2001
formal_full_fixed_components,216,598.0,False,False,False,0.0016722408026755853,2001
formal_full_fixed_components,217,205.0,False,False,False,0.004878048780487805,2001
formal_full_fixed_components,218,925.0,False,False,False,0.001081081081081081,2001
formal_full_fixed_components,219,1135.0,False,False,False,0.000881057268722467,2001
formal_full_fixed_components,220,1.0,True,True,True,1.0,2001
formal_full_fixed_components,221,387.0,False,False,False,0.002583979328165375,2001
formal_full_fixed_components,222,349.0,False,False,False,0.0028653295128939827,2001
formal_full_fixed_components,223,473.0,False,False,False,0.0021141649048625794,2001
formal_full_fixed_components,224,201.0,False,False,False,0.004975124378109453,2001
formal_full_fixed_components,225,214.0,False,False,False,0.004672897196261682,2001
formal_full_fixed_components,226,1256.0,False,False,False,0.0007961783439490446,2001
formal_full_fixed_components,227,734.0,False,False,False,0.0013623978201634877,1329
formal_full_fixed_components,228,1.0,True,True,True,1.0,2001
sirius_formula_only_component,0,222.0,False,False,False,0.0045045045045045045,1241
sirius_formula_only_component,1,1.0,True,True,True,1.0,2001
sirius_formula_only_component,10,7.0,False,False,True,0.14285714285714285,2000
sirius_formula_only_component,100,1.0,True,True,True,1.0,2001
sirius_formula_only_component,101,1.0,True,True,True,1.0,2001
sirius_formula_only_component,102,1.0,True,True,True,1.0,2001
sirius_formula_only_component,103,1.0,True,True,True,1.0,678
sirius_formula_only_component,104,1.0,True,True,True,1.0,2001
sirius_formula_only_component,105,1.0,True,True,True,1.0,2001
sirius_formula_only_component,106,1.0,True,True,True,1.0,2000
sirius_formula_only_component,107,1.0,True,True,True,1.0,2001
sirius_formula_only_component,108,1.0,True,True,True,1.0,2000
sirius_formula_only_component,109,1.0,True,True,True,1.0,2000
sirius_formula_only_component,11,449.0,False,False,False,0.0022271714922048997,2001
sirius_formula_only_component,110,1.0,True,True,True,1.0,824
sirius_formula_only_component,111,1.0,True,True,True,1.0,2001
sirius_formula_only_component,112,1.0,True,True,True,1.0,2001
sirius_formula_only_component,113,1.0,True,True,True,1.0,2001
sirius_formula_only_component,114,1.0,True,True,True,1.0,689
sirius_formula_only_component,115,1.0,True,True,True,1.0,1876
sirius_formula_only_component,116,1.0,True,True,True,1.0,2001
sirius_formula_only_component,117,1.0,True,True,True,1.0,2001
sirius_formula_only_component,118,166.0,False,False,False,0.006024096385542169,2001
sirius_formula_only_component,119,715.0,False,False,False,0.0013986013986013986,2001
sirius_formula_only_component,12,1.0,True,True,True,1.0,2001
sirius_formula_only_component,120,1.0,True,True,True,1.0,2001
