component,candidate_rows,rows_with_score,coverage_fraction,min,mean,median,max
sirius_formula_plausibility_score,408249,236358,0.5789554903992417,0.0,0.7748836334723396,1.0,1.0
precursor_mass_consistency_score,408249,408249,1.0,0.0,0.870213174094923,0.9352788160615785,0.9999999996898796
fragment_formula_plausibility_score,408249,408249,1.0,0.0,0.04577972101744569,0.0,0.5152708228915677
fragannotor_formal_component_score,408249,408249,1.0,0.0,0.47251463008416245,0.3340804094587075,0.9261250841646426
